MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
26.65,3.35,8.85,1.05,1.3,10.8,2.0,5.2,3.15,0.9,2.55
16.7,2.4,6.2,0.8,0.9,6.2,0.6,2.3,2.2,0.7,1.1
31.35,7.15,16.4,1.65,1.85,15.9,1.65,2.35,9.8,3.95,3.2
18.9,2.2,4.7,0.3,0.5,9.7,1.2,3.8,1.7,0.6,2.1
21.7,2.3,5.9,0.6,0.9,7.4,0.9,1.3,3.0,0.8,2.2
32.6,7.8,15.7,5.4,6.4,25.7,2.1,2.7,5.5,2.1,6.6
24.95,3.425,7.25,1.425,1.975,13.975,1.225,3.85,1.875,0.65,4.1
32.425,7.0,15.475,2.2,2.95,18.3,2.5,3.325,6.3,2.15,6.0
31.05,3.55,8.15,1.7,2.05,14.9,2.05,5.85,5.15,1.95,3.35
35.767,9.933,19.9,3.7,4.067,26.5,2.1,5.567,7.533,2.967,4.033
30.55,6.45,14.95,2.65,3.2,20.95,3.05,6.85,6.3,2.35,4.95
17.1,2.3,4.85,0.7,1.05,6.6,0.55,0.6,1.25,0.4,2.25
21.9,2.9,7.25,1.05,1.25,7.6,0.7,1.6,5.15,1.95,1.65
20.55,2.6,4.35,0.8,1.1,11.9,0.7,1.85,0.85,0.3,3.65
30.333,6.233,13.0,3.033,3.467,18.4,1.267,1.367,6.567,2.5,5.333
35.3,9.6,17.9,4.3,5.7,29.9,3.5,8.3,5.1,2.1,6.4
21.933,4.1,9.867,1.167,1.433,8.967,1.0,1.733,4.8,1.7,2.233
31.8,5.3,12.7,0.9,1.2,17.2,2.2,5.7,8.3,3.1,4.2
21.6,4.0,9.8,2.3,2.6,9.9,1.6,3.4,2.6,1.0,1.8
29.6,4.333,10.8,2.2,2.9,11.567,1.2,1.733,5.6,2.0,2.833
35.85,10.525,21.925,6.35,8.45,32.3,4.1,8.775,8.975,3.225,7.925
23.1,3.467,7.4,0.667,0.767,10.2,0.833,1.767,4.733,2.2,2.567
13.65,1.95,2.85,0.65,0.75,8.7,0.35,0.95,0.1,0.0,1.95
12.7,2.0,4.7,0.8,1.0,5.8,0.9,1.9,2.4,0.8,1.3
22.4,3.85,8.85,0.8,0.95,8.3,1.2,2.0,3.75,1.2,1.95
30.25,6.6,14.2,2.55,2.95,18.85,1.8,4.8,5.55,2.3,3.9
